CRASH TIME,YEAR,ACCIDENTS
0,2018,2765
0,2020,1537
1,2018,1176
1,2020,849
2,2018,868
2,2020,651
3,2018,719
3,2020,503
4,2018,842
4,2020,464
5,2018,921
5,2020,502
6,2018,1505
6,2020,705
7,2018,2137
7,2020,885
8,2018,3661
8,2020,1310
9,2018,3857
9,2020,1377
10,2018,3578
10,2020,1386
11,2018,3901
11,2020,1601
12,2018,4279
12,2020,1722
13,2018,4372
13,2020,1919
14,2018,5139
14,2020,2068
15,2018,4879
15,2020,2020
16,2018,5561
16,2020,2268
17,2018,5306
17,2020,2232
18,2018,4455
18,2020,2067
19,2018,3577
19,2020,1734
20,2018,2875
20,2020,1561
21,2018,2659
21,2020,1405
22,2018,2456
22,2020,1368
23,2018,2029
23,2020,1220
