,BOROUGH,ZIP CODE,ACCIDENTS
0,Bronx,10451,1003
1,Bronx,10452,1116
2,Bronx,10453,846
3,Bronx,10454,1008
4,Bronx,10455,594
5,Bronx,10456,779
6,Bronx,10457,1185
7,Bronx,10458,779
8,Bronx,10459,741
9,Bronx,10460,1014
10,Bronx,10461,665
11,Bronx,10462,875
12,Bronx,10463,639
13,Bronx,10464,166
14,Bronx,10465,646
15,Bronx,10466,852
16,Bronx,10467,1188
17,Bronx,10468,809
18,Bronx,10469,779
19,Bronx,10470,256
20,Bronx,10471,329
21,Bronx,10472,811
22,Bronx,10473,566
23,Bronx,10474,414
24,Bronx,10475,407
25,Brooklyn,11201,1449
26,Brooklyn,11203,1301
27,Brooklyn,11204,573
28,Brooklyn,11205,623
29,Brooklyn,11206,1055
30,Brooklyn,11207,2087
31,Brooklyn,11208,1367
32,Brooklyn,11209,706
33,Brooklyn,11210,750
34,Brooklyn,11211,1481
35,Brooklyn,11212,1155
36,Brooklyn,11213,868
37,Brooklyn,11214,908
38,Brooklyn,11215,826
39,Brooklyn,11216,867
40,Brooklyn,11217,751
41,Brooklyn,11218,551
42,Brooklyn,11219,667
43,Brooklyn,11220,964
44,Brooklyn,11221,960
45,Brooklyn,11222,785
46,Brooklyn,11223,665
47,Brooklyn,11224,546
48,Brooklyn,11225,619
49,Brooklyn,11226,1205
50,Brooklyn,11228,386
51,Brooklyn,11229,583
52,Brooklyn,11230,807
53,Brooklyn,11231,583
54,Brooklyn,11232,547
55,Brooklyn,11233,1238
56,Brooklyn,11234,1310
57,Brooklyn,11235,1023
58,Brooklyn,11236,1518
59,Brooklyn,11237,605
60,Brooklyn,11238,651
61,Brooklyn,11239,335
62,Brooklyn,11251,54
63,Brooklyn,11385,32
64,Brooklyn,11414,3
65,Brooklyn,11416,4
66,Brooklyn,11417,1
67,Brooklyn,11421,2
68,Manhattan,83,202
69,Manhattan,10001,771
70,Manhattan,10002,924
71,Manhattan,10003,532
72,Manhattan,10004,127
73,Manhattan,10005,67
74,Manhattan,10006,78
75,Manhattan,10007,227
76,Manhattan,10009,310
77,Manhattan,10010,394
78,Manhattan,10011,593
79,Manhattan,10012,420
80,Manhattan,10013,844
81,Manhattan,10014,370
82,Manhattan,10016,822
83,Manhattan,10017,473
84,Manhattan,10018,684
85,Manhattan,10019,701
86,Manhattan,10020,22
87,Manhattan,10021,356
88,Manhattan,10022,776
89,Manhattan,10023,438
90,Manhattan,10024,395
91,Manhattan,10025,490
92,Manhattan,10026,281
93,Manhattan,10027,783
94,Manhattan,10028,272
95,Manhattan,10029,935
96,Manhattan,10030,317
97,Manhattan,10031,479
98,Manhattan,10032,658
99,Manhattan,10033,463
100,Manhattan,10034,448
101,Manhattan,10035,884
102,Manhattan,10036,707
103,Manhattan,10037,275
104,Manhattan,10038,230
105,Manhattan,10039,301
106,Manhattan,10040,285
107,Manhattan,10044,2
108,Manhattan,10045,1
109,Manhattan,10048,17
110,Manhattan,10065,647
111,Manhattan,10069,20
112,Manhattan,10075,189
113,Manhattan,10103,1
114,Manhattan,10104,2
115,Manhattan,10111,5
116,Manhattan,10115,1
117,Manhattan,10118,3
118,Manhattan,10120,1
119,Manhattan,10121,1
120,Manhattan,10122,1
121,Manhattan,10128,300
122,Manhattan,10153,1
123,Manhattan,10166,1
124,Manhattan,10169,4
125,Manhattan,10174,1
126,Manhattan,10260,1
127,Manhattan,10270,3
128,Manhattan,10278,1
129,Manhattan,10279,1
130,Manhattan,10280,33
131,Manhattan,10281,21
132,Manhattan,10282,17
133,Manhattan,10463,27
134,Queens,11001,42
135,Queens,11004,112
136,Queens,11005,39
137,Queens,11040,50
138,Queens,11096,5
139,Queens,11101,1444
140,Queens,11102,360
141,Queens,11103,520
142,Queens,11104,212
143,Queens,11105,332
144,Queens,11106,330
145,Queens,11109,2
146,Queens,11208,7
147,Queens,11237,17
148,Queens,11354,905
149,Queens,11355,752
150,Queens,11356,347
151,Queens,11357,409
152,Queens,11358,373
153,Queens,11360,176
154,Queens,11361,408
155,Queens,11362,454
156,Queens,11363,69
157,Queens,11364,482
158,Queens,11365,491
159,Queens,11366,127
160,Queens,11367,745
161,Queens,11368,1349
162,Queens,11369,472
163,Queens,11370,357
164,Queens,11371,57
165,Queens,11372,600
166,Queens,11373,929
167,Queens,11374,382
168,Queens,11375,761
169,Queens,11377,1087
170,Queens,11378,789
171,Queens,11379,325
172,Queens,11385,1301
173,Queens,11411,368
174,Queens,11412,501
175,Queens,11413,972
176,Queens,11414,454
177,Queens,11415,215
178,Queens,11416,335
179,Queens,11417,486
180,Queens,11418,442
181,Queens,11419,533
182,Queens,11420,894
183,Queens,11421,359
184,Queens,11422,655
185,Queens,11423,394
186,Queens,11426,320
187,Queens,11427,366
188,Queens,11428,180
189,Queens,11429,477
190,Queens,11430,180
191,Queens,11432,874
192,Queens,11433,652
193,Queens,11434,1209
194,Queens,11435,1048
195,Queens,11436,334
196,Queens,11451,4
197,Queens,11691,584
198,Queens,11692,127
199,Queens,11693,140
200,Queens,11694,165
201,Queens,11697,13
202,Staten Island,10301,526
203,Staten Island,10302,219
204,Staten Island,10303,327
205,Staten Island,10304,566
206,Staten Island,10305,465
207,Staten Island,10306,575
208,Staten Island,10307,90
209,Staten Island,10308,185
210,Staten Island,10309,313
211,Staten Island,10310,281
212,Staten Island,10312,493
213,Staten Island,10314,1262
