,Measure,Degree,Count proportion
0,Humidity,HIGH,443.3101265822785
1,Humidity,LOW,367.1923076923077
2,Humidity,MEDIUM,454.68333333333334
3,Precipitation,HIGH,487.5
4,Precipitation,LOW,416.7823529411765
5,Precipitation,MEDIUM,485.9166666666667
6,Temperature,HIGH,463.75
7,Temperature,LOW,444.25925925925924
8,Temperature,MEDIUM,436.71830985915494
9,Visibility,HIGH,432.34188034188037
10,Visibility,LOW,541.0
11,Visibility,MEDIUM,589.8333333333334
12,Windspeed,HIGH,437.2368421052632
13,Windspeed,LOW,465.55405405405406
14,Windspeed,MEDIUM,403.125
